"TimeStamp","NameFile","LengthTrack","Error %","Nquadrants","WindowsTime","SpeedLimit","Algorithm","Error Meter"
"2017-02-20 17:09:08","Sensor_record_20170125_151110_AndroSensor.csv",450,99.9889789527,2,1,90,"RandomDecision",449.9504052872
"2017-02-20 17:09:21","Sensor_record_20170125_151110_AndroSensor.csv",450,62.696353568,4,20,30,"RandomDecision",282.1335910559
"2017-02-20 17:09:31","Sensor_record_20170125_151110_AndroSensor.csv",450,52.1442888677,4,20,50,"RandomDecision",234.6492999047
"2017-02-20 17:09:41","Sensor_record_20170125_151110_AndroSensor.csv",450,32.0539226694,4,20,70,"RandomDecision",144.2426520123
"2017-02-20 17:09:53","Sensor_record_20170125_151110_AndroSensor.csv",450,24.5501592198,4,20,90,"RandomDecision",110.4757164891
"2017-02-20 17:09:57","Sensor_record_20170125_151110_AndroSensor.csv",450,71.572167909,4,10,30,"RandomDecision",322.0747555904
"2017-02-20 17:10:01","Sensor_record_20170125_151110_AndroSensor.csv",450,65.3326217228,4,10,50,"RandomDecision",293.9967977527
"2017-02-20 17:10:06","Sensor_record_20170125_151110_AndroSensor.csv",450,60.5201341603,4,10,70,"RandomDecision",272.3406037212
"2017-02-20 17:10:09","Sensor_record_20170125_151110_AndroSensor.csv",450,57.4941801581,4,10,90,"RandomDecision",258.7238107115
"2017-02-20 17:10:14","Sensor_record_20170125_151110_AndroSensor.csv",450,77.5882055265,4,5,30,"RandomDecision",349.1469248693
"2017-02-20 17:10:18","Sensor_record_20170125_151110_AndroSensor.csv",450,74.2650445503,4,5,50,"RandomDecision",334.1927004764
"2017-02-20 17:10:22","Sensor_record_20170125_151110_AndroSensor.csv",450,71.1358329592,4,5,70,"RandomDecision",320.1112483162
"2017-02-20 17:10:26","Sensor_record_20170125_151110_AndroSensor.csv",450,68.2272621689,4,5,90,"RandomDecision",307.0226797601
"2017-02-20 17:10:30","Sensor_record_20170125_151110_AndroSensor.csv",450,82.8311249093,4,1,30,"RandomDecision",372.7400620917
"2017-02-20 17:10:34","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7950819728,4,1,50,"RandomDecision",372.5778688778
"2017-02-20 17:10:39","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7590527406,4,1,70,"RandomDecision",372.4157373328
"2017-02-20 17:10:43","Sensor_record_20170125_151110_AndroSensor.csv",450,82.72303723,4,1,90,"RandomDecision",372.253667535
"2017-02-20 17:10:47","Sensor_record_20170125_151110_AndroSensor.csv",450,49.2121387194,8,20,30,"RandomDecision",221.4546242374
"2017-02-20 17:10:51","Sensor_record_20170125_151110_AndroSensor.csv",450,28.8910910597,8,20,50,"RandomDecision",130.0099097685
"2017-02-20 17:10:55","Sensor_record_20170125_151110_AndroSensor.csv",450,18.7130185827,8,20,70,"RandomDecision",84.2085836223
"2017-02-20 17:10:59","Sensor_record_20170125_151110_AndroSensor.csv",450,31.1172036488,8,20,90,"RandomDecision",140.0274164195
"2017-02-20 17:11:03","Sensor_record_20170125_151110_AndroSensor.csv",450,71.572167909,8,10,30,"RandomDecision",322.0747555904
"2017-02-20 17:11:07","Sensor_record_20170125_151110_AndroSensor.csv",450,65.3326217228,8,10,50,"RandomDecision",293.9967977527
"2017-02-20 17:11:11","Sensor_record_20170125_151110_AndroSensor.csv",450,60.5201341603,8,10,70,"RandomDecision",272.3406037212
"2017-02-20 17:11:15","Sensor_record_20170125_151110_AndroSensor.csv",450,57.4941801581,8,10,90,"RandomDecision",258.7238107115
"2017-02-20 17:11:19","Sensor_record_20170125_151110_AndroSensor.csv",450,77.5882055265,8,5,30,"RandomDecision",349.1469248693
"2017-02-20 17:11:23","Sensor_record_20170125_151110_AndroSensor.csv",450,74.2650445503,8,5,50,"RandomDecision",334.1927004764
"2017-02-20 17:11:27","Sensor_record_20170125_151110_AndroSensor.csv",450,71.1358329592,8,5,70,"RandomDecision",320.1112483162
"2017-02-20 17:11:31","Sensor_record_20170125_151110_AndroSensor.csv",450,68.2272621689,8,5,90,"RandomDecision",307.0226797601
"2017-02-20 17:11:35","Sensor_record_20170125_151110_AndroSensor.csv",450,82.8311249093,8,1,30,"RandomDecision",372.7400620917
"2017-02-20 17:11:39","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7950819728,8,1,50,"RandomDecision",372.5778688778
"2017-02-20 17:11:43","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7590527406,8,1,70,"RandomDecision",372.4157373328
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,82.72303723,8,1,90,"RandomDecision",372.253667535
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,30.0537607743,2,20,30,"DeadReckoning",135.2419234843
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,94.3331967963,2,20,50,"DeadReckoning",424.4993855834
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,159.8805751705,2,20,70,"DeadReckoning",719.4625882673
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,225.5933527816,2,20,90,"DeadReckoning",1015.1700875171
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,24.8687530773,2,10,30,"DeadReckoning",111.9093888479
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,84.5241325377,2,10,50,"DeadReckoning",380.3585964194
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,145.9926550749,2,10,70,"DeadReckoning",656.9669478372
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,207.6704151383,2,10,90,"DeadReckoning",934.5168681225
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,13.729729206,2,5,30,"DeadReckoning",61.7837814269
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,65.5018198711,2,5,50,"DeadReckoning",294.7581894198
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,119.6925611438,2,5,70,"DeadReckoning",538.6165251473
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,174.0572563512,2,5,90,"DeadReckoning",783.2576535806
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,11.6435052785,2,1,30,"DeadReckoning",52.3957737534
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,48.096421913,2,1,50,"DeadReckoning",216.4338986083
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,94.4118645229,2,1,70,"DeadReckoning",424.8533903532
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,141.1967982589,2,1,90,"DeadReckoning",635.3855921651
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,30.0537607743,4,20,30,"DeadReckoning",135.2419234843
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,94.3331967963,4,20,50,"DeadReckoning",424.4993855834
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,159.8805751705,4,20,70,"DeadReckoning",719.4625882673
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,225.5933527816,4,20,90,"DeadReckoning",1015.1700875171
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,24.8687530773,4,10,30,"DeadReckoning",111.9093888479
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,84.5241325377,4,10,50,"DeadReckoning",380.3585964194
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,145.9926550749,4,10,70,"DeadReckoning",656.9669478372
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,207.6704151383,4,10,90,"DeadReckoning",934.5168681225
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,13.729729206,4,5,30,"DeadReckoning",61.7837814269
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,65.5018198711,4,5,50,"DeadReckoning",294.7581894198
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,119.6925611438,4,5,70,"DeadReckoning",538.6165251473
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,174.0572563512,4,5,90,"DeadReckoning",783.2576535806
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,11.6435052785,4,1,30,"DeadReckoning",52.3957737534
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,48.096421913,4,1,50,"DeadReckoning",216.4338986083
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,94.4118645229,4,1,70,"DeadReckoning",424.8533903532
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,141.1967982589,4,1,90,"DeadReckoning",635.3855921651
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,30.0537607743,8,20,30,"DeadReckoning",135.2419234843
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,94.3331967963,8,20,50,"DeadReckoning",424.4993855834
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,159.8805751705,8,20,70,"DeadReckoning",719.4625882673
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,225.5933527816,8,20,90,"DeadReckoning",1015.1700875171
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,24.8687530773,8,10,30,"DeadReckoning",111.9093888479
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,84.5241325377,8,10,50,"DeadReckoning",380.3585964194
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,145.9926550749,8,10,70,"DeadReckoning",656.9669478372
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,207.6704151383,8,10,90,"DeadReckoning",934.5168681225
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,13.729729206,8,5,30,"DeadReckoning",61.7837814269
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,65.5018198711,8,5,50,"DeadReckoning",294.7581894198
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,119.6925611438,8,5,70,"DeadReckoning",538.6165251473
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,174.0572563512,8,5,90,"DeadReckoning",783.2576535806
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,11.6435052785,8,1,30,"DeadReckoning",52.3957737534
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,48.096421913,8,1,50,"DeadReckoning",216.4338986083
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,94.4118645229,8,1,70,"DeadReckoning",424.8533903532
"2017-02-20 17:11:47","Sensor_record_20170125_151110_AndroSensor.csv",450,141.1967982589,8,1,90,"DeadReckoning",635.3855921651
"2017-02-20 17:15:39","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,20,30,"Backtrack",90.7315425348
"2017-02-20 17:15:42","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,20,50,"Backtrack",90.7315425348
"2017-02-20 17:15:46","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,20,70,"Backtrack",90.7315425348
"2017-02-20 17:15:49","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,20,90,"Backtrack",90.7315425348
"2017-02-20 17:15:53","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,10,30,"Backtrack",90.7315425348
"2017-02-20 17:15:57","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,10,50,"Backtrack",90.7315425348
"2017-02-20 17:16:01","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,10,70,"Backtrack",90.7315425348
"2017-02-20 17:16:04","Sensor_record_20170125_151323_AndroSensor.csv",500,20.1625650077,2,10,90,"Backtrack",90.7315425348
"2017-02-20 17:16:19","Sensor_record_20170125_151323_AndroSensor.csv",500,50.7335675146,2,5,30,"Backtrack",228.3010538157
"2017-02-20 17:16:33","Sensor_record_20170125_151323_AndroSensor.csv",500,50.7335675146,2,5,50,"Backtrack",228.3010538157
"2017-02-20 17:16:47","Sensor_record_20170125_151323_AndroSensor.csv",500,50.7335675146,2,5,70,"Backtrack",228.3010538157
"2017-02-20 17:17:04","Sensor_record_20170125_151323_AndroSensor.csv",500,50.7335675146,2,5,90,"Backtrack",228.3010538157
