"ACCELEROMETER X (m/s²)","ACCELEROMETER Y (m/s²)","ACCELEROMETER Z (m/s²)","GRAVITY X (m/s²)","GRAVITY Y (m/s²)","GRAVITY Z (m/s²)","LINEAR ACCELERATION X (m/s²)","LINEAR ACCELERATION Y (m/s²)","LINEAR ACCELERATION Z (m/s²)","GYROSCOPE X (rad/s)","GYROSCOPE Y (rad/s)","GYROSCOPE Z (rad/s)","LIGHT (lux)","MAGNETIC FIELD X (μT)","MAGNETIC FIELD Y (μT)","MAGNETIC FIELD Z (μT)","azimuth","ORIENTATION X (pitch °)","ORIENTATION Y (roll °)","PROXIMITY (i)","ATMOSPHERIC PRESSURE (hPa)","SOUND LEVEL (dB)","LOCATION Latitude : ","LOCATION Longitude : ","LOCATION Altitude ( m)","LOCATION Altitude-google ( m)","LOCATION Altitude-atmospheric pressure ( m)","LOCATION Speed ( Kmh)","LOCATION Accuracy ( m)","LOCATION ORIENTATION (°)","Time since start in ms ","Time since start in ms ","YYYY-MO-DD HH-MI-SS_SSS"
"0.768539","2.020706","10.304646","0.578515","2.162515","9.547734","0.368392","-0.348907","0.774866","-0.004261","-0.095874","0.0","950.0","-36.3","17.7","5.2","64.9492","-12.7393","-3.4674","3.15","1019.5846","68.91326","44.738285","10.770437","231.6821","114.11734466164735","99.4372","19.35484","39.8724","20 / 22",17044,"2017-01-29 09:40:00:491",
"1.098939","2.212242","9.593566","0.620715","1.839898","9.612486","0.478224","0.372344","-0.018919","0.035154","-0.066046","-0.005326","943.0","-36.1","17.8","5.0","64.6594",-10964,"-3.7129","3.15","1019.5882","68.79805","44.73848","10.770663","231.4564","114.11734466164735","99.3078","19.35484","39.9941","20 / 22",17543,"2017-01-29 09:40:00:990",
"0.205901","2.029086","9.9515","0.637251","1.897694","9.60016","-0.009971","-0.169081","-0.457899","-0.001065","-0.057524","-0.006392","943.0","-36.3","17.8","4.8","64.7069",-11321,"-3.7243","3.15",1019625,"68.09571","44.73848","10.770663","231.4564","114.11734466164735","99.3078","19.35484","39.9941","20 / 22",18043,"2017-01-29 09:40:01:490",
"0.17358","1.906982","9.97185","0.494248","1.987069","9.5905","-0.320668","-0.080087","0.381351","0.011718","0.001065","0.003196","947.0","-36.3","17.9","5.1","64.8708","-11.7877","-3.0035","3.15","1019.6506","68.42877","44.73866","10.770882","231.1144","114.11734466164735","97.4326","19.35484","40.1444","20 / 22",18544,"2017-01-29 09:40:01:991",
"-0.316035","2.614468","9.828198","0.700968","2.106523","9.552048","-1.017002","0.507945","0.276152","0.023436","0.034088","0.003196","948.0","-36.3","17.7","4.8","64.8377","-12.7099","-4.1674","3.15",1019691,"68.64432","44.73866","10.770882","231.1144","114.11734466164735","97.4326","19.35484","40.1444","20 / 22",19044,"2017-01-29 09:40:02:491",
"-0.069432","2.379837","8.888474","0.708095","2.194192","9.531764","-0.105953","0.165294","-0.613361","0.008522","0.04048","-0.003196","938.0","-36.5","17.8","4.9","64.8561","-12.9291","-4.2486","3.15","1019.6874","67.42443","44.738846","10.771096","229.4636","114.11734466164735","96.6423","19.35484","40.0472","20 / 22",19544,"2017-01-29 09:40:02:991",
"0.04549","2.790442","9.6211","0.679732","2.267972","9.516546","-0.659381","0.338117","-0.702292","0.024501","0.022371","-0.005326","927.0","-36.4","17.6","5.1","65.0723","-13.5512","-3.4843","3.15",1019688,"68.65692","44.738846","10.771096","229.4636","114.11734466164735","96.6423","19.35484","40.0472","20 / 22",20044,"2017-01-29 09:40:03:491",
"-0.067038","2.658761","9.399636","0.597306","2.265756","9.522602","-0.229796","0.237382","0.641981","0.013848","-0.015979","0.002131","950.0","-36.2","17.6","5.0","65.0827","-13.4775","-3.3482","3.15","1019.6612","68.24619","44.739025","10.771313","228.0667","114.11734466164735","95.9677","19.35484","39.8995","20 / 22",20543,"2017-01-29 09:40:03:990",
"0.548272","2.772486","10.09156","0.635029","2.271263","9.51885","-0.421945","0.549107","-0.203011","0.009587","-0.005326","0.001065","948.0","-36.1","17.5","5.1","65.0056","-13.4621","-3.8078","3.15","1019.6838","67.48078","44.739025","10.771313","228.0667","114.11734466164735","95.9677","19.35484","39.8995","20 / 22",21046,"2017-01-29 09:40:04:493",
"0.503979","2.239776","9.652226","0.662141","2.241137","9.52414","0.247656","0.259607","-0.075423","0.011718","-0.017044","-0.001065","945.0","-36.5","17.8","5.5","65.0207","-13.4142","-3.6701","3.15","1019.6852","68.17664","44.73922","10.771534","227.9643","114.11734466164735","95.8084","19.35484","39.9016","20 / 22",21543,"2017-01-29 09:40:04:990",
"-0.216675","2.337938","9.894038","0.544206","2.316795","9.5135","0.375168","0.085787","0.30153","0.019175","-0.04048","-0.017044","943.0","-36.3","17.6","5.4","65.1457","-13.7731","-3.2532","3.15","1019.7","66.70967","44.73922","10.771534","227.9643","114.11734466164735","95.8084","19.35484","39.9016","20 / 22",22043,"2017-01-29 09:40:05:490",
"0.997185","2.190695","9.579202","0.68062","2.241464","9.52276","0.275864","0.120416","0.59753","0.021305","-0.047937","-0.003196","938.0","-36.2","17.6","4.9","64.8329","-12.9061","-4.3742","3.15",1019698,"68.3384","44.739395","10.771739","227.2916","114.11734466164735","95.4967","19.35484","39.9539","20 / 22",22543,"2017-01-29 09:40:05:990",
"0.960075","1.966837","9.694122","0.640825","2.310787","9.508944","-0.539071","-0.430141","-0.306828","0.001065","-0.071373","-0.004261","943.0","-36.3","17.6","5.4","64.8701","-13.4074",-4577,"3.15",1019704,"68.17305","44.739395","10.771739","227.2916","114.11734466164735","95.4967","19.35484","39.9539","20 / 22",23043,"2017-01-29 09:40:06:490",
"0.774524","2.148796","9.707292","0.734527","2.164053","9.536652","0.486516","0.152337","-0.1023","0.011718","-0.045806","0.0","928.0","-36.4","17.7","4.9","64.8634","-12.9325","-4.2055","3.15","1019.7232","68.36392","44.73958","10.771952","226.2121","114.11734466164735","95.0165","19.35484","39.8323","20 / 22",23544,"2017-01-29 09:40:06:991",
"0.356736","2.104504","10.509348","0.719801","2.123853","9.546806","0.373152","0.759963","0.07549","-0.026632","0.015979","-0.007457","923.0","-36.4","17.6","5.4","65.1308","-12.6156","-4.3042","3.15","1019.7446","67.67542","44.73958","10.771952","226.2121","114.11734466164735","95.0165","19.35484","39.8323","20 / 22",24043,"2017-01-29 09:40:07:490",
"0.806846","1.960851","8.68377","0.610706","2.204598","9.536098","0.19614","-0.243747","-0.852328","-0.012783","-0.023436","-0.001065","945.0","-36.2","17.6","5.1","64.9837","-13.1112","-3.6114","3.15","1019.7512","69.67224","44.739758","10.772163","226.0676","114.11734466164735","94.4333","19.35484","39.8859","20 / 22",24544,"2017-01-29 09:40:07:991",
"0.865504","1.553837","8.48984","0.621733","2.137446","9.550662","-0.378722","-0.522557","-0.445513","0.009587","0.018109","-0.004261","950.0","-36.2","17.6","5.2","64.9027","-12.7197","-3.7542","3.15","1019.7574","68.12059","44.739758","10.772163","226.0676","114.11734466164735","94.4333","19.35484","39.8859","20 / 22",25043,"2017-01-29 09:40:08:490",
"0.543484","2.49835","9.665392","0.721055","2.188677","9.53206","-0.003991","0.363542","0.417046","0.010653","-0.007457","-0.003196","943.0","-36.3","17.7","5.4","64.8932","-13.0195","-4.0966","3.15","1019.7826","68.38173","44.739933","10.772372","226.4217","114.11734466164735","93.6013","19.35484","40.0069","20 / 22",25544,"2017-01-29 09:40:08:991",
"0.751779","2.221819","9.07642","0.705967","2.161516","9.539384","0.045812","0.060303","-0.462964","0.006392","-0.007457","-0.010653","940.0","-36.1","17.5","4.9","64.8309","-12.7333","-4.2325","3.15","1019.7998","67.88454","44.739933","10.772372","226.4217","114.11734466164735","93.6013","19.35484","40.0069","20 / 22",26044,"2017-01-29 09:40:09:491",
"0.398635","2.606089","9.973048","0.714602","2.108857","9.550522","-0.315968","0.497232","0.422526","-0.005326","0.027697","-0.003196","945.0","-36.2","17.5","5.1","64.8197",-12543,"-4.1311","3.15","1019.8088","67.15856","44.740112","10.77258","226.8569","114.11734466164735","93.0514","19.35484","40.0033","20 / 22",26544,"2017-01-29 09:40:09:991",
"0.582988","2.445677","9.391256","0.658688","2.081371","9.560566","0.309767","0.291283","0.247282","-0.003196","0.028762","0.005326","935.0","-36.4","17.6","5.2","64.8115","-12.3745","-4.0275","3.15","1019.8226","67.26573","44.740112","10.77258","226.8569","114.11734466164735","93.0514","19.35484","40.0033","20 / 22",27043,"2017-01-29 09:40:10:490",
"0.536301","2.505532","9.31105","0.612775","2.070968","9.565876","-0.062109","0.046703","-0.285951","0.017044","-0.041545","0.001065","934.0","-36.0","17.6","5.0","64.8685","-12.2124","-3.4782","3.15",1019821,"69.47209","44.740284","10.772788","227.4034","114.11734466164735","92.2505","19.35484","40.0059","20 / 22",27544,"2017-01-29 09:40:10:991",
"1.063026","2.041057","9.985018","0.641874","2.074302","9.563246","0.217644","-0.095494","0.321217","0.012783","-0.004261","0.003196","941.0","-35.9","17.5","5.7","65.0912","-12.0434","-3.9237","3.15","1019.8254","68.19234","44.740284","10.772788","227.4034","114.11734466164735","92.2505","19.35484","40.0059","20 / 22",28043,"2017-01-29 09:40:11:490",
"0.878672","2.631228","10.894814","0.667238","2.154095","9.54385","0.669923","0.038994","0.964302","-0.011718","-0.031958","-0.001065","939.0","-36.9","18.3","5.0","65.3915","-12.5554","-4.1524","3.15","1019.8096","67.60752","44.74046","10.772993","227.8951","114.11734466164735","91.0388","19.35484","40.0701","20 / 22",28543,"2017-01-29 09:40:11:990",
"0.68953","1.962048","9.560048","0.579319","2.097927","9.562086","0.110211","-0.135879","-0.002038","-0.001065","-0.021305","0.004261","948.0","-36.4","17.3","5.6","66.4879","-12.3113","-3.4218","3.15","1019.8114","66.73668","44.74046","10.772993","227.8951","114.11734466164735","91.0388","19.35484","40.0701","20 / 22",29044,"2017-01-29 09:40:12:491",
"1.370681","2.206257","9.774328","0.648775","2.089542","9.559462","-0.462027","-0.151436","-0.357347","-0.007457","0.015979","0.008522","943.0","-36.0","17.7","5.2","64.8406","-12.3518","-3.8097","3.15",1019824,"69.07167","44.740627","10.773195","228.4194","114.11734466164735","89.8704","19.35484","39.8993","20 / 22",29543,"2017-01-29 09:40:12:990",
"0.20231","2.121263","9.83179","0.667721","2.098802","9.556128","-0.024877","-0.346246","-0.114593","0.017044","-0.012783","-0.004261","945.0","-36.1","17.7","4.7","64.8469","-12.4549","-3.8675","3.15","1019.8546","67.43041","44.740627","10.773195","228.4194","114.11734466164735","89.8704","19.35484","39.8993","20 / 22",30043,"2017-01-29 09:40:13:490",
